,0,1,Month,Actual year,index1,Year,Date,All property types,City,Yearly GDP
0,January,2000,January,2000,0,2000,January 2000,130411,london,1632591
0,February,2000,February,2000,1,2000,February 2000,132705,london,1632591
0,March,2000,March,2000,2,2000,March 2000,134286,london,1632591
0,April,2000,April,2000,3,2000,April 2000,140670,london,1632591
0,May,2000,May,2000,4,2000,May 2000,140862,london,1632591
0,June,2000,June,2000,5,2000,June 2000,143542,london,1632591
0,July,2000,July,2000,6,2000,July 2000,146228,london,1632591
0,August,2000,August,2000,7,2000,August 2000,147284,london,1632591
0,September,2000,September,2000,8,2000,September 2000,147316,london,1632591
0,October,2000,October,2000,9,2000,October 2000,145626,london,1632591
0,November,2000,November,2000,10,2000,November 2000,147666,london,1632591
0,December,2000,December,2000,11,2000,December 2000,147483,london,1632591
0,January,2000,January,2000,262,2000,January 2000,39743,manchester,1632591
0,February,2000,February,2000,263,2000,February 2000,40396,manchester,1632591
0,March,2000,March,2000,264,2000,March 2000,40113,manchester,1632591
0,April,2000,April,2000,265,2000,April 2000,40894,manchester,1632591
0,May,2000,May,2000,266,2000,May 2000,41625,manchester,1632591
0,June,2000,June,2000,267,2000,June 2000,42870,manchester,1632591
0,July,2000,July,2000,268,2000,July 2000,43582,manchester,1632591
0,August,2000,August,2000,269,2000,August 2000,44263,manchester,1632591
0,September,2000,September,2000,270,2000,September 2000,44861,manchester,1632591
0,October,2000,October,2000,271,2000,October 2000,44671,manchester,1632591
0,November,2000,November,2000,272,2000,November 2000,43849,manchester,1632591
0,December,2000,December,2000,273,2000,December 2000,44201,manchester,1632591
0,January,2000,January,2000,524,2000,January 2000,57695,birmingham,1632591
0,February,2000,February,2000,525,2000,February 2000,57603,birmingham,1632591
0,March,2000,March,2000,526,2000,March 2000,57118,birmingham,1632591
0,April,2000,April,2000,527,2000,April 2000,57982,birmingham,1632591
0,May,2000,May,2000,528,2000,May 2000,59365,birmingham,1632591
0,June,2000,June,2000,529,2000,June 2000,60332,birmingham,1632591
0,July,2000,July,2000,530,2000,July 2000,61053,birmingham,1632591
0,August,2000,August,2000,531,2000,August 2000,61409,birmingham,1632591
0,September,2000,September,2000,532,2000,September 2000,62243,birmingham,1632591
0,October,2000,October,2000,533,2000,October 2000,62525,birmingham,1632591
0,November,2000,November,2000,534,2000,November 2000,62855,birmingham,1632591
0,December,2000,December,2000,535,2000,December 2000,63549,birmingham,1632591
0,January,2000,January,2000,786,2000,January 2000,55303,leeds,1632591
0,February,2000,February,2000,787,2000,February 2000,55152,leeds,1632591
0,March,2000,March,2000,788,2000,March 2000,55638,leeds,1632591
0,April,2000,April,2000,789,2000,April 2000,56841,leeds,1632591
0,May,2000,May,2000,790,2000,May 2000,58600,leeds,1632591
0,June,2000,June,2000,791,2000,June 2000,60339,leeds,1632591
0,July,2000,July,2000,792,2000,July 2000,61612,leeds,1632591
0,August,2000,August,2000,793,2000,August 2000,62425,leeds,1632591
0,September,2000,September,2000,794,2000,September 2000,62840,leeds,1632591
0,October,2000,October,2000,795,2000,October 2000,62738,leeds,1632591
0,November,2000,November,2000,796,2000,November 2000,62534,leeds,1632591
0,December,2000,December,2000,797,2000,December 2000,62655,leeds,1632591
0,January,2000,January,2000,1262,2000,January 2000,70086,southampton,1632591
0,February,2000,February,2000,1263,2000,February 2000,71160,southampton,1632591
0,March,2000,March,2000,1264,2000,March 2000,70937,southampton,1632591
0,April,2000,April,2000,1265,2000,April 2000,73579,southampton,1632591
0,May,2000,May,2000,1266,2000,May 2000,74232,southampton,1632591
0,June,2000,June,2000,1267,2000,June 2000,77095,southampton,1632591
0,July,2000,July,2000,1268,2000,July 2000,78314,southampton,1632591
0,August,2000,August,2000,1269,2000,August 2000,80853,southampton,1632591
0,September,2000,September,2000,1270,2000,September 2000,82389,southampton,1632591
0,October,2000,October,2000,1271,2000,October 2000,81258,southampton,1632591
0,November,2000,November,2000,1272,2000,November 2000,80078,southampton,1632591
0,December,2000,December,2000,1273,2000,December 2000,80539,southampton,1632591
0,January,2000,January,2000,1524,2000,January 2000,42294,liverpool,1632591
0,February,2000,February,2000,1525,2000,February 2000,41810,liverpool,1632591
0,March,2000,March,2000,1526,2000,March 2000,42291,liverpool,1632591
0,April,2000,April,2000,1527,2000,April 2000,42990,liverpool,1632591
